,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
285,doc 286,wavelet transform,bit,video,implement,experiment result,wavelet,optim,memori,speed,code
286,doc 287,convolut,fact,imag,effici,account,comput,reason,nois,comput of local moment,effect of uncorrel nois
287,doc 288,wavelet coeffici,wavelet transform,resolut,wavelet,nois,separ,imag,magnitud,constraint,model
288,doc 289,experiment result,minim,video,viewpoint,indic,account,function,map,object contour in video,problem of background clutter
289,doc 290,lot,video,encod,fact,smooth,imag,iter,reason,account,function
290,doc 291,wavelet,probabl,filter,imag,knowledg,reduct,correl,approxim,nois,dynam
291,doc 292,wavelet transform,roi,overhead,encod,embed,wavelet,discret,code,avail,relev
292,doc 293,oper condit,stabil,optim,cost,linear,control,gener,design,common method of improv stabil,effect synchron gener
293,doc 294,tune,softwar,network,distribut,compens coil tune,softwar tool,author,behavior,detect,regard
294,doc 295,chang,engin,train,simul,util,dynam,technolog,inher requir for simul technolog,energi util,chang environ
295,doc 296,engin,identif,speed,simul,field,compon,gener,control,measur,model
296,doc 297,deregul,power industri,technolog chang,futur,industri,review,engin,technolog,integr,network
297,doc 298,secur,continu,uncertainti,packag,reliabl,util,busi,market,softwar,standard
298,doc 299,internet resourc,firewal,programm,internet,resourc,softwar,specif,filter,gener,control
299,doc 300,director,busi,invest,integr,softwar,technolog,competit in today current climat,latest softwar applic,key,portfolio
300,doc 301,risk,busi,secur,regul,impact,manag,compani,standard,unquantifi secur risk,failur
301,doc 302,inform network,advent,util,plan,network,inform,control,structur,above-ment optic fiber network,sewer optic fiber teleway
302,doc 303,statist model,closed-form express,distort measur,decod,imag,wavelet,statist,avail,constraint,approxim
303,doc 304,triangl,embed,robust,fact,imag,manipul,correl,addit,content,perform
304,doc 305,color,interpol,visual,imag,correl,specif,filter,perform,term of mean squar error,color plane interpol
305,doc 306,scene illumin,color,imag,avail,correl,perform,experi,statist,specif,implement
306,doc 307,scene illumin,color,manipul,avail,reflect,precis,experi,magnitud,correct,correl
307,doc 308,metric,imag qualiti,answer,color,imag,complex,visual,simul,map,associ
308,doc 309,minim,control,recent improv of ingham,minim time,fourier method,type theorem,type,improv,time,result
309,doc 310,control signal,industri,standard,control,experi,implement,friction compens for pneumat control,pneumat control valv,compens,puls
310,doc 311,pid control,sensit,perform,answer,function,robust,control,integr,measur,function of dead-tim margin
311,doc 312,design constraint,account,constraint,optim,control,gener,design,model,lift model,new gpc algorithm
312,doc 313,graphic,observ,visual,size,output,select,measur,comput,model,number of independ subset
313,doc 314,princip compon analysi,benchmark,identif,industri,matric,complex,observ,output,sensor,simul
314,doc 315,radial basi function neural network,design procedur,neural network,simul result,regul,temperatur,avail,simul,identif,databas
315,doc 316,interact,addit,structur,gener,manual initi of deform surfac,major bottleneck in interact segment,centrelin,new paradigm,initi guess,haptic devic
316,doc 317,avail,educ,graphic,visual,interact,document,review,imag,plan,posit
317,doc 318,reliabl,imag,patient,visual,plan,perform,comput,structur,problem of lung metastasi detect,visual on ct imag
318,doc 319,finit element model,imag segment,robust,valid,data set,research,packag,organ,util,avail
319,doc 320,sequenc,web,video,student,visual,databas,model,structur,planar obliqu slice in order,sequenc of scene construct
320,doc 321,cut tool,interact,survey,simul,experi,research,perform,implement,structur,model
321,doc 322,imag segment,imag,experi,uncertainti,linear,desir,account,accuraci,optim,classifi
322,doc 323,numer simul,hybrid approach,map,robust,speed,effici,stabil,addit,simul,time effect phase unwrap
323,doc 324,desir,viewpoint,sensit,differenti,engin,filter,field,design,novel approach of strain segment,digit method
324,doc 325,accuraci,random,averag,posit,nois,perform,sensit,experi,high posit accuraci,modifi averag oper
325,doc 326,nois characterist,nois,color,magnitud,random,filter,imag,approxim,reduct,dynam
326,doc 327,scale factor,converg,experiment result,util,correl,filter,chang,inform,mellin radial harmon decomposit,fourier transform profilometri techniqu
327,doc 328,roi,autom,robust,interact,experi,function,posit,specif,comput,locat in camera calibr
328,doc 329,reflect,precis,reliabl,chang,resolut,experi,differenti,measur,posit,eccentr light beam approach
329,doc 330,manufactur process,robust,manipul,resolut,autom,map,imag,constraint,manufactur,optim
330,doc 331,vehicl,color,overhead,presenc,averag,indic,observ,robust,probabl,size
331,doc 332,experiment result,desir,imag,output,reflect,approxim,mechan,filter,implement,compon
332,doc 333,complex,memori,correl,addit,effici,perform,one-step msd addit techniqu,set of minterm need,content-address memori,incoher correl
333,doc 334,resolut,imag,integr,improv view resolut,nonstationari micro-opt techniqu,improv,view,adopt,potenti,present
334,doc 335,convolut,inform process,resolut,imag,code,function,distribut,technolog,inform,design
335,doc 336,imag,magnitud,addit,model,compon,comput,short baselin binocular imag pair,problem of figure-ground segment,invers fourier transform,result addit imag
336,doc 337,ccd camera,cielab,color,account,output,reflect,imag,filter,model,nois
337,doc 338,iter,smooth,converg,experiment result,minim,util,function,nois,imag,knowledg
338,doc 339,optim problem,sequenc,imag,precis,optim,dynam,program,field,perform,comput
339,doc 340,experiment result,correl,imag,simul,posit,perform,function,filter,implement,chang
340,doc 341,wavelet transform,bit,vector quantiz,overhead,publish,decod,wavelet,discret,code,imag
341,doc 342,reconstruct imag,imag qualiti,imag,discret,accuraci,resolut,comput,integr,reconstruct imag of digit holographi,simplic in experiment requir
342,doc 343,search algorithm,precis,search,speed,probabl,effici,optim,experi,linear,imag
343,doc 344,fuzzi logic approach,copyright protect,fuzzi logic,robust,visual,imag,experi,model,fuzzi logic techniqu,adapt digit watermark scheme
344,doc 345,color,correl,encod,experiment result,function,perform,imag,distribut,correl of color imag,color pattern recognit task
345,doc 346,metric,search,desir,continu,effici,approxim,gener,set of vector evalu,set of effici vector evalu,search for effici solut
346,doc 347,patient,comput,inform,acut period of concuss,result of comput process,number of comput procedur,experiment inform,number,articl,result
347,doc 348,correl,robust,linear,regular of linear regress problem,estim of linear regress paramet,regular,bayesian method,blue,bayesian approach,studi consid
348,doc 349,unit state,option,reliabl,close number of vote,small number of vote,self-consist choic contain term,plural vote,approv vote,self-consist choic,main option
349,doc 350,invers problem,relev,identif,function,model,structur,hierarch structur,uniqu solvabl,parabol equat,coeffici
350,doc 351,invers problem,mathemat model,exchang,effici,experi,model,mathemat model of ion exchang,process of ion exchang,numer solut method,ion exchang compress
351,doc 352,cluster,interfac,simul,comput,parallel,standard,implement,so-cal messag pass interfac,parallel of applic algorithm,numer solut of gas-dynam problem
352,doc 353,survey,pressur,interact,simul,review,size,field,model,literatur on hybrid simul,kelvin-helmholtz instabl in finite-s object
353,doc 354,complex,impact,matric,iter,memori,code,comput,perform,actual perform of algorithm,iter solver for dens matric
354,doc 355,case studi,reflect,field,program,imag,code,plan,comput,structur,ray carri field
355,doc 356,market,addit,dynam,program,research,use of oper research,flip analysi flip,solitair board game,flip,manageri decis make
356,doc 357,faculti,deliveri,univers,relev,output,educ,observ,engin,student,experi
357,doc 358,vehicl,implement,research,manag,scienc,gener,network,recent shift of attent,spreadsheet,critic path
358,doc 359,simul,packag,object-ori version of simlib,easy-to-understand discrete-ev simul packag,object point of view,single-serv queue simul,object-ori version,object-ori simlib,simpl simul packag,object
359,doc 360,upper bound,probabl distribut,probabl,distribut,inform,valu of perfect inform,evpi,maximum possibl evpi,state,world
360,doc 361,student,classroom use microsoft powerpoint,classroom use,classroom version,millionair,instruct on oper,version,instruct,classroom edit,use
361,doc 362,probabl,answer,util,continu,statist,research,dynam,manag,scienc,program
362,doc 363,probabl distribut,risk,student,packag,iter,continu,probabl,avail,interact,simul
363,doc 364,educ,futur,vehicl,deliveri,scienc,manag,chang,model,renaiss in ms educ,decad of enorm chang
364,doc 365,heart,student,fact,reason,simul,manag,plan,optim,scienc,model
365,doc 366,decis maker,polit,student,busi,manag,experi,scienc,program,gener,model
366,doc 367,budget,invest,option,univers,continu,addit,librari,scienc,posit,strategi
367,doc 368,addit,avail,market,inform,valu of book,factor of edit,patterson studi,print book,fifty-six titl,valu
368,doc 369,econom,market,sampl of fifty-six titl,basic econom principl,valu of book,valu,autograph,factor,fifty-six titl,titl
369,doc 370,histori,field,technolog,scienc,method of collect develop,necessari basi for success,histori of scienc,basic refer tool,rare materi,beginn
370,doc 371,case studi,chang,librari,tale of special collect,small academ librari,special collect depart,academ environ,collect,acquisit polici,academ librari
371,doc 372,librari,chang,jame ford bell librari,basic acquisit philosophi,note special collect,electron revolut,acquisit,commentari,articl,approach
372,doc 373,cultur,publish,strategi,librari,import role in poetri,underground poetri for librari collect,acquisit difficulti,librarian,collect poetri,local focu
373,doc 374,addit,model,posit,model of bound ration,emot,bound ration,hanoch,comment,author refer,hanoch comment
374,doc 375,reason,constraint,addit,sourc of bound ration,long tradit of thinker,addit sourc of bound ration,high emot arous,effect of emot,bound ration,kaufman unidimension idea
375,doc 376,motiv,option,learn,function,model,motiv forc of emot,biology-bas model of choic,biolog substrat of choic,emot,learn of expect
376,doc 377,comput industri,person comput,evolut,price,cost,model,industri,product,comput,equilibrium model of industri evolut
377,doc 378,util,function,specif,chang,model,context of health outcom,intertempor prefer for monetari outcom,hyperbol discount model,hyperbol model,du model
378,doc 379,model,search,speed,cost,util,market,dynam,chang,standard,integr
379,doc 380,intuit,organ,account,econom,classifi,structur,control,map,research,well-defin ultim control group
380,doc 381,organ,cooper,reflect,structur,technolog,design,literatur on properti right,literatur on modular design,partit of rights-understood,right of alien
381,doc 382,inject mould,minimum valu,object function,numer simul,temperatur,sensit,iter,posit,design,simul
382,doc 383,safeti,case studi,uncertainti,posit,benefit,market,simul,manag,specif,plan
383,doc 384,manufactur,packag,cost,univers,engin,research,machin,design,model,perform
384,doc 385,perform measur,simul result,averag,delay,indic,flexibl,simul,perform,util,addit
385,doc 386,fuzzi logic approach,perform measur,fuzzi logic,flexibl,manufactur,simul,perform,measur,model,altern rout possibl
386,doc 387,inject mould,user interfac,manufactur process,cost,case studi,product,econom,sequenc,valid,select
387,doc 388,fractal dimens,machin,interfac,speed,comput,model,exist of non-euclidean contact geometri,machin of aluminium alloy,geometri of contact,use fractal
388,doc 389,layer manufactur process,manufactur process,addit,machin,review,manufactur,research,structur,integr,control
389,doc 390,voltag compens in support,alaska,author,construct,support,world,paper,energi,help,storag
390,doc 391,two-cascad semiconductor optic amplifi,counterpropag feedback configur,mutual gain modul,configur,extinct ratio,gain nonlinear,extinct,soa,two-cascad semiconductor,amplifi
391,doc 392,comput simul,patient,imag,iter,presenc,minim,impact,statist,simul,filter
392,doc 393,voxel size,patient,valid,protocol,imag,averag,size,posit,inform,standard
393,doc 394,databas,code,product,bar code label,track meat product,central databas,custom,wireless termin,link,accur
394,doc 395,relev,statist,minim,probabl,specif,select,content,distribut,gener,inform
395,doc 396,bifurc,relev,sensit,stabil,associ,differenti,dynam,chang,essenti featur of enzymat reaction,appear of larg amplitud
396,doc 397,distanc measur,correl,avail,interpol,random,simul,product,model,distribut,compon
397,doc 398,comput network,minim,structur,comput,network,gener,span tree,tree enumer in undirect graph,algorithm,flow
398,doc 399,inject mould,initial-boundari valu problem,presenc,pressur,associ,gener,presenc of bodi forc,certain boundari valu problem,equat for inject mould,exist of weak solut
399,doc 400,busi environ,linear,transport,busi,avail,industri,constraint,program,research,function
400,doc 401,mathemat model,constraint,optim,plan,research,linear,gener,program,model,advertis campaign of good
401,doc 402,continu,addit,design,all-opt xor gate,addit input beam,continu wave light,input signal,boolean ab,clock signal,input
402,doc 403,internet,survey,account,web,inform,design,onlin advic,influenc peopl respons,advic,trust
403,doc 404,internet,technolog,continu,research,impact,market,internet gambl,technolog develop in internet gambl,area of potenti concern,develop of gambl practic
404,doc 405,compani,organ,continu,manag,integr,technolog,remot staff,report of frustrat,issu of remot,use of intranet
405,doc 406,internet,motiv,age,survey,mass,web,function,comput,internet transform collect action,natur of collect action
406,doc 407,virtual commun,internet,inform technolog,account,technolog,inform,reaction of commun member,perpetr of ident decept,express of true self,reveal ident decept
407,doc 408,manipul,associ,interact,comput,research,strength of group ident,degre of person identifi,computer-medi group,concept of deindividu,identifi computer-medi group
408,doc 409,viabil,survey,internet,research,experi,measur,repeat measur survey research onlin,longitudin survey research,issu of data,particip
409,doc 410,depend variabl,internet experi,internet,motiv,util,experi,structur,inform,internet-bas psycholog experi,use of dropout
410,doc 411,internet,research,review,interact,design,comput,social implic of internet use,intern confer on psycholog,breadth of research,psycholog
411,doc 412,reconstruct imag,imag,robust,topolog,resolut,map,specif,function,measur,chang
412,doc 413,statist analysi,usa,frequenc respons,observ,nois,statist,engin,addit,standard,filter
413,doc 414,case studi,continu,optim,function,problem of convex optim,absenc of infinit number,ideal slide mode,continu convex-program algorithm,slide mode,exact penalti function
414,doc 415,autom,complex,compon,specif,structur,control,effici,complex structur in real time,method for autom,complex structur
415,doc 416,engin,control,machin,intern combust engin,low-temperatur plasma control,reduc fuel consumpt,work process,process,steam machin,exhaust toxic
416,doc 417,optim,resourc,dynam,cluster,softwar,program,comput,control,chang,gener
417,doc 418,commut,addit,implement,gener,gener hypercub display in addit,failure-toler of doubl p-ari multir,doubl p-ari multir,commut of channel,arbitrari single-el permut,doubl p-ari hypercub
418,doc 419,cooper,function,classic characterist function,number of decis,cooper game,uniqu solut,characterist function,solut,new concept,number
419,doc 420,transport,network,optim,addit,design,number of branch point,locat of transport rout,given set of termin point,locat,certain number
420,doc 421,motiv,agent,control,function,linear,weight,problem of control,solv problem,goal function,criteria
421,doc 422,comput experi,flexibl,uncertainti,constraint,mathemat model,complex,chang,optim,design,experi
422,doc 423,fuzzi logic,vehicl,discret,stabil,vibrat,perform,control,structur,design,model
423,doc 424,constraint,linear,control,hidden convex,properti,studi,,,,
424,doc 425,discret,polynomi,linear,stabil,set of stabl polynomi,certain auxiliari plane,discret variant,coordin plane,configur,geometri
425,doc 426,stabil,random,mass,approxim,experi,linear,structur,gener,random jump in phase trajectori,random jump
426,doc 427,suffici condit,smooth,optim,control,optim control switch point,optim control,nonlinear,properti,exist,switch
427,doc 428,embed,polynomi,technolog,structur,gener,number of step,class of solut,bezout matrix ident,polynomi equat,descript exampl
428,doc 429,reachabl set,reachabl,reduct,approxim,linear,optim,function,control,design,gener
429,doc 430,function,polynomi,univers,integr,independ constant for decomposit,integr rang of exponenti function,integr rang for exponenti function,integr rang,univers decomposit,constant
430,doc 431,minim,field,sequenc,linear,experi,control,gener,inform,field of real number,synchron experi
431,doc 432,specif,implement,behavior defect of object,class of physic defect,diagnosi,step-by-step approach,disturb,approach,specif problem,mode
432,doc 433,reliabl estim,reliabl,softwar,select,standard,control,model,systemat of adapt method,event graph model,reliabl requir
433,doc 434,effici,method of conflictless realiz,nonlock in multir,arbitrari permut,data block,hypercub,high effici,data item,multir,method
434,doc 435,linear,complex,polynomi,compon,map,model,technolog,linear model of circuit,lineardesignmv algorithm on circuit,number of multivalu compon
435,doc 436,human factor,identif,structur,problem of structur identif,process of structur identif,new approach,problem,decis role,recognit,discuss
436,doc 437,throughput,complex,sequenc,polynomi,cost,optim,network,design,typic problem of network reconstruct,given number of sequenc term
437,doc 438,bounded,continu,stabil,linear,control,condit,initi data,feedback circuit,pulse-frequ modul,solut
438,doc 439,reachabl set,reachabl,iter,optim,design,control,class of multistep control process,class of multistep control,class,upper estim
439,doc 440,random,statist,size,standard,distribut,gener,inform,standard method of estim,properti of gener confid set,construct of confid set
440,doc 441,dynam,new notion of equilibrium,dynam game problem,basic equilibria,propos,non-coop game,game,problem,place,notion
441,doc 442,state vector,observ,desir,embed,separ,control,technolog,linear,compon,function
442,doc 443,linear,dynam,standard,function,bound time interv consider,bound time interv,classic frequenc characterist,transcendent characterist equat,spectral characterist,partial spectra
443,doc 444,quantum comput,technolog,experi,scienc,comput,quantum,practic devic,solid-st devic,challeng,author
444,doc 445,futur,compani,heighten fear of privaci abus,recent string of failur,peril of privaci,custom list,disclosur,privaci polici,commerci concern,list
445,doc 446,pedagogi,secur,industri,reflect,place in san francisco,enterpris in focu,author report,industri reflect,enterpris,balanc
446,doc 447,person comput,secur,industri,supplier,risk,educ,busi,govern,comput,search
447,doc 448,graphic,imag,code,alter jpeg file,jpeg imag file,compress graphic imag,affect jpeg file,file,main viru featur,execut code
448,doc 449,cultur,secur,document,standard,inform,implement,control,intern inform secur standard,variou intern inform secur standard,inform secur polici
449,doc 450,firewal,lot,secur,manag,specif,basic of secur crisi manag,kind of secur event,corpor crisi manag,secur crisi,secur event
450,doc 451,compani,manufactur,industri,secur,market,technolog,chang,import redund power suppli,million of dollar,redund air condit
451,doc 452,industri,patient,benefit,manufactur,optim,integr,perform,new solut,build,offic meet
452,doc 453,europ,busi,engin,supplier,product,answer,manufactur,implement,distribut,compani
453,doc 454,unit state,materi handl,packag,accuraci,product,speed,specif,machin,distribut,effici
454,doc 455,oper condit,engin,embed,product,pressur,optim,market,indic,compani,measur
455,doc 456,product,invest,fabric,precis,speed,reason,industri,cost,manufactur,specif
456,doc 457,comput complex,autom,invest,program,futur,simul,complex,knowledg,softwar,product
457,doc 458,suppli chain,industri,market,autom,manufactur,product,softwar,integr,effici,tradit limit of manufactur effici
458,doc 459,throughput,busi,product,desir,supplier,complex,industri,discret,optim,manufactur
459,doc 460,manufactur process,manufactur,industri,pressur,busi,continu,discret,evolut,product,integr
460,doc 461,interpol,beth properti for l,beth properti,classic modal case,boolean case,intuitionist modal logic,algebra properti,classic case,differ form,case
461,doc 462,topolog,imag,product,topolog densiti of homomorph imag,boolean algebra,cardin of close subspac,zfc use pcf,famili of cardin,result on ultraproduct,boolean
462,doc 463,law firm,busi environ,consult,client,busi,market,futur,avail,survey,learn
463,doc 464,regul,consult,servic provid,continu,govern,market,implement,european electron signatur direct,latest develop on e-signatur,signific of certif servic provid
464,doc 465,law firm,publish,field,mirror group newspap for damag,data protect act,breach,case,distress,naomi campbel,onlin publish
465,doc 466,web site,judgment,busi,web,inform,use of variou optimis techniqu,optimis techniqu for web site,reed busi inform limit,reed solut plc versu,trade mark infring
466,doc 467,consult,softwar,comput,program,sensibl european legisl on softwar,total lack of uniti,invent use softwar,commiss in octob,european patent offic,nation patent law
467,doc 468,europ,publish,cooper,internet,indic,content,control,content of foreign-host internet site,ambit of english crimin law,council of europ cybercrim convent
468,doc 469,deliveri,comput,e-govern,special legal issu,e-govern modernis,public servic,introduct,hint,author,electron deliveri
469,doc 470,evolut,document,cost,imag,cost point of view,imag e-mail,disclosur,origin paper,paper,legal team
470,doc 471,consult,client,benefit,futur,govern,protocol,avail,chang,law societi rule govern storag,electron storag of legal file
471,doc 472,data exchang,consult,softwar,packag,industri,chang,busi,databas,exchang,standard
472,doc 473,secur,standard,technolog,softwar,control,new medium of commun,widespread use of e-mail,secur form of commun,legal profess,e-mail
473,doc 474,dea,dispos e-mail address,number of dea,dea in mailshel,e-mail,address,mailshel,solut,author,number
474,doc 475,web site,budget,compani,invest,busi,web,specif,experi,web site firm staff,web site firm
475,doc 476,law firm,contract,invest,web site,web,standard,strategi,law firm web site,good invest,best invest
476,doc 477,patient,ontolog,inform technolog,imag,interfac,parallel,research,web,distribut,inform
477,doc 478,inform technolog,mathemat model,patient,engin,univers,imag,content,research,technolog,knowledg
478,doc 479,servic provid,internet,desir,deliveri,review,addit,research,experi,product,network
479,doc 480,standard gener markup languag,data exchang,sgml,exchang,standard,protocol,structur,effici,model,gener
480,doc 481,risk,pressur,mass,autom,index,function,weight,gener,necess for lifestyl improv,use advic for lifestyl improv
481,doc 482,inform technolog,inform process,organ,continu,industri,stabil,structur,specif,inform,network
482,doc 483,employe,knowledg manag,knowledg,impact,product,busi,structur,learn,perform,posit
483,doc 484,organ,impact,evolut,internet,futur,busi,strategi,review,research,associ
484,doc 485,case studi,invest,search,manufactur,model,research,compani,dynam,design,gener
485,doc 486,throughput,strategi,agent,protocol,structur,experi,librari,function,model,design
486,doc 487,synchron motor,variabl structur control,state estim,neural network,uncertainti,discret,observ,linear,network,structur
487,doc 488,design procedur,presenc,control strategi,addit,control,function,linear,differenti,stabil,gener
488,doc 489,partnership,comput scienc,student,univers,engin,experi,comput,scienc,design,mobil comput design competit
489,doc 490,standard,motiv,univers,deliveri,industri,protocol,comput,broader term servic discoveri,need for plug-and-play solut,pervas comput environ
490,doc 491,magazin,interfac,product,mechan,compani,specif,technolog,comput,gener,design
491,doc 492,mobil agent,client,internet,agent,standard,dynam,program,novel middlewar for mobility-en servic,ubiquit provis of internet servic,context-depend internet servic
492,doc 493,integr,comput,interact,knowledg,network,varieti of network peripher devic,integr independ tool,knowledg worker,pervas comput,electron whiteboard
493,doc 494,research,implement,manag,inform,comput,great promis for mobil,pervas comput environ,larg scale,directori servic,traffic report
494,doc 495,model,desir,resourc,organ,complex,mechan,inform,control,comput,design
495,doc 496,electron commun,learn,program,inform,context-awar chat program,context-awar chat program conchat,contextu inform,conchat,convers,user
496,doc 497,engin,content,optim,quality-of-service-awar decis engin,appropri adapt decis,challeng,pose,adapt,decis,servic
497,doc 498,sensor,exchang,softwar,dynam,comput,inform,ad hoc commun support,engag in spontan inform exchang,reconfigur context-sensit middlewar,pervas comput
498,doc 499,sensor,classifi,experi,measur,angular veloc data,dead-reckon method,user locat,wearabl sensor,acceler,locat recognit
499,doc 500,organ,interact,avail,resourc,experi,technolog,perform,comput,effici,design
