,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
189,doc 190,pretopolog approach for structur analysi,structur analysi,pretopolog concept,methodolog approach for problem,new structur analysi algorithm,differ type of connect,structur analysi algorithm,pretopolog concept of pseudoclosur,impact of geograph proxim,aim
190,doc 191,perform evalu,unavoid preprocess step for batch-construct,tree page,tree insert algorithm,exist databas,number of disk access,reloc process,new index,enorm volum of data,perform tendenc in relat
191,doc 192,critic time for control,element introduc time delay,time delay,synthet simultan,control loop,control decis,simpl approach,libet,natur,element
192,doc 193,multi agent constraint logic program,logic program platform for build,maclp,necessari facil for commun,key technolog,distribut natur,hard problem,agent,ma technolog,complex problem in order
193,doc 194,sea level,self-organ featur map,unsupervis learn procedur,learn procedur,sea level forecast servic,nearest neighbor model,new method,number of learn exampl,kohonen network,function relationship
194,doc 195,high-spe rail grade cross invest,rail-rel analysi tool,fra,feder railroad administr,rail-rel intermod softwar product,metropolitan plan organ,benefit of potenti infrastructur project,role of cost benefit analysi,fra offici,agenc object
195,doc 196,propos framework for process mean,process inform,human intellectu activ,dialogu,studi on mean process,human intellig,linguist activ,mean of languag,brain,exampl of develop
196,doc 197,biolog model,comput model,gener framework,artifici intellig approach,gener framework paradigm of inspir,autonom behavior,consist model,definit of cortex-lik automata,wide topic,elementari function
197,doc 198,trademark disput,global internet on trademark law,multimillion-dollar legal battl,greedi opportunist,case of uzi nissan,disput,goliath,case of david,corpor,geograph consider
198,doc 199,real law,internet activ,virtual border,nation govern,commerci law,whilst larger compani,law of local jurisdict,block of certain site,treati,public order
199,doc 200,better ballot box,greater opportun for widespread fraud,hand-count paper ballot,examin technolog,wide rang of vote issu,automat teller machin,vote,elect offici,exist trend,lever machin
200,doc 201,tablet pc,handwritten text,smaller laptop,handwritten,pen,releas,general-purpos machin,screen,person digit assist,microsoft
201,doc 202,waypoint line segment,line-follow guidanc,optim waypoint chang point,linear quadrat regul,line segment in sequenc,optim control,guidanc,lyapunov stabil theorem,suffici condit,lqr
202,doc 203,electromagnet vector sensor,spatial processor,track of multipl broadband sourc,latest sourc paramet estim,set of parallel spatial processor,uncorrel sourc,electromagnet vector,individu sourc,sourc tracker,second stage
203,doc 204,regim variabl,transit probabl,finit state markov chain,discrete-valu regim variabl,unknown transit probabl,straightforward extens of standard algorithm,state estim,margin posterior distribut,finit state,switch
204,doc 205,plot ambigu function,pedagog tool in radar cours,matlab,ambigu,code,avoid loop,capabl,signal,matrix,program
205,doc 206,trapezoid veloc profil,particular increment motion control problem,field-ori control pmlsm servo drive,multiseg slide mode control,synchron motor,multiseg switch surfac,specified-seg switch surfac,oper principl,pmlsm,perman magnet
206,doc 207,feedforward loop,maximum power,fuzzi control,point track scheme,off-lin train,interleav dual boost,mp point,track algorithm chang,off-lin train neural network,compar studi of interleav boost
207,doc 208,fuzzi adapt invers model quantit,srm drive,invers model,robust speed control,simpl disturb cancel robust control,desir regul control requir,switch reluct motor,nonlinear dynam behavior,command feedforward control,speed dynam respons
208,doc 209,robust fuzzi control,robust fuzzi,fuzzi control,output scale factor,small steady-st error,scale factor,transient respons,photovolta,wide load variat,invert
209,doc 210,friction forc,wavelet neural network,payload variat in motion control,learn feedback compon,nonlinear friction forc,state feedback control,wavelet neural control,state feedback compon,control deal,experiment implement
210,doc 211,fast maximum likelihood,maximum likelihood,outlier data vector,filter robust adapt,desir steer vector,covari matrix estim,maximum likelihood estim,unknown underli covari matrix,covari matrix,sampl matrix invers
211,doc 212,star,crucial step for proper evalu,criteria for effici organ,brightness-independ initi acquisit algorithm,star catalog gener preprocess,modern star tracker,identif of minimum star bright,attain sky coverag,on-board databas,case of singl run
212,doc 213,partial actuat failur,actuat failur,filter spawn,highest condit probabl of correct,substanti precis in effect estim,multipl model,truth model,design model,complet actuat failur hypothesi,addit filter
213,doc 214,fetal biomagnet record,two-step procedur for signal process,biomagnet record,simpl signal space project,cardiac interfer,matern cardiac interfer,interfer templat,key differ,fetal cardiac complex,interfer
214,doc 215,brain-comput interfac,phone number,button,virtual telephon keypad,high inform transfer rate,comput monitor,differ rate,averag transfer rate,thirteen subject,noninvas signal record
215,doc 216,ecg map data,noninvas myocardi activ time imag,clinic condit,gauss-newton approach,novel invers algorithm,nonlinear problem,sequenc of regular linear problem,singl beat sinu rhythm data,activ time map,nonlinear problem formul
216,doc 217,variat bayesian algorithm,character of nonstationari multivari signal,analysi of event-rel data,real electroencephalogram data,multivari,frequenc domain,coeffici,synthet data,variat,event-rel desynchron
217,doc 218,human expert,artifici neural network,feedforward backpropag artifici neural network,independ artifici neural network,new breath-detect algorithm,publish algorithm for breath detect,distribut of human expert result,expir occur,sleep,allow determin of inspir
218,doc 219,wald test on sourc amplitud,bay inform criterion,adjust hotel test,model select procedur,vef in electromagnet sourc analysi,msp residu varianc,requir number of sourc,new msp,nois set,differ sourc
219,doc 220,time-vari properti,hypertens rat,arteri blood pressur fluctuat,hypertens blood flow data,tgf mechan,hypertens blood flow record,spontan arteri pressur fluctuat,complet descript of renal autoregul,clear differ in renyi entropi,pressur
220,doc 221,usual distort measur use average-dist,high-resolut ecg analysi,late potenti analysi,classic method of cluster analysi,spsa method in ecg analysi,simultan perturb stochast approxim,real data,new distort measur,spsa,t-wave altern
221,doc 222,model packag for host-microflora interact,intestin microflora,human intestin microflora,cellular automaton for simul,comput simul,modern molecular method,hypothet mechan of interact,increas in observ power,ecolog,lack of simul environ
222,doc 223,cross section,symmetr coaxial coupler,coupler of complex cross section,public-domain matlab packag,case of nonsymmetr coupler,polygon inner conductor,effici tool,design of coaxial waveguid,effect of metal diaphragm,extern shield
223,doc 224,global simul,fast convolution-bas time-domain approach,global photonic-circuit simul,device-onli simul use gaa msm,physic devic model,complet circuit perform,high respons speed,complet detector,mixer circuit,gener of millimet wave
224,doc 225,effici numer approxim techniqu,nonuniform transmiss line,differenti quadratur method,transmiss line,fewer grid point in order,weight linear sum of valu,solvabl algebra equat,small set of point,global sampl of point,ration process in dqm
225,doc 226,uncondit stabl finite-el time-domain,anisotrop pml absorb materi,nyquist sampl criterion,entir propag bandwidth in waveguid,fetd,truncat of fetd lattic,time-step size,layer,spatial discret,extend fetd algorithm
226,doc 227,novel bitlin sens scheme,data-retent time,low power dissip,major obstacl in low-voltag dram,sens amplifi,offset-cancel sense-amplifi scheme,low signal level,low suppli voltag,power-consum refresh oper,low-voltag dram
227,doc 228,render engin,mobil person digit assist,convent local frame-buff architectur,dram macro,power consumpt,low power consumpt,pda,read-modify-writ data transact,chip,six-megabit
228,doc 229,digital-to-analog convert,differential-quad switch,new type of switch scheme,direct digit modul,high-conversion-r high-resolut,switch scheme,auxiliari circuitri,degrad in signal-to-nois ratio,mu m cmo technolog,dac
229,doc 230,techniqu for design phase-frequ detector,higher oper frequenc,faster frequenc acquisit,oper frequenc,pfd,ghz,convent pfd,loop,mu m cmo,delay
230,doc 231,high-voltag transistor scale circuit techniqu,circuit techniqu,maximum intern voltag,high-voltag transistor,neg eras voltag,high-voltag gener,high coupling-ratio cell technolog,coupl capacitor,latch,latch node
231,doc 232,sens amplifi,tag cell in level,sens amplifi in level,memori cell,tag-sens amplifi,mu m cmo technolog,swl,sens,memori,wlotc scheme
232,doc 233,induct logic program,spatial relat,exist relat,ilp,prerequisit,proper background knowledg,main contribut,abil,navig,relev
233,doc 234,fast user switch,concept of multipl user account,multipl user,new featur of window xp,built-in capabl of termin servic,window xp,termin server,termin servic,step,concept
234,doc 235,run time,net framework sdk,net common languag runtim,emit,favorit regular express,regex class,net assembl,code,reflect,attent
235,doc 236,revers engin,net obfusc,basic renam obfusc,numer obfusc,intellectu properti,author consid,typic softwar develop project,net code,net platform,obfusc
236,doc 237,state-spac averag techniqu,simul in previou averag model,averag,perfect element,waveform analysi,activ role,variou damp effect,ohmic loss,small-sign ac analysi,dc transfer function
237,doc 238,power suppli design,flyback convert exampl,dc power,magnet compon,power suppli engin,reduc prototyp cost,cad,convert,convers,suppli
238,doc 239,virtual realiti,virtual wheelchair experi obstacl,attitudin barrier,children,collabor research methodolog,disabl,narrow door,inappropri comment,increas children knowledg,collabor research
239,doc 240,web-bas instruct,instruct web materi,achiev result,vertic space in text,handl of present element,effect of white space,prior research,overal structur,small chang,on-lin materi
240,doc 241,interperson relationship,efficaci of electron telecommun,effect of electron telecommun,student attitud,supplementari aid,posttest-onli experiment design,computer-medi commun,instructor,efficaci,telecommun
241,doc 242,new method of systemolog analysi,object-ori systemolog method,function flow-typ object,procedur of object-ori design,node-function-object class hierarchi,vestn,new method,result of develop,khgpu,axiomat
242,doc 243,pseudofuzzi quantiti,fuzzi bayesian infer techniqu problem,mathemat fundament,bayesian decis procedur,case of fuzzi data,bayesian approach,basic relationship,princip concept,concept of fuzzi,modus-ponen rule
243,doc 244,safe problem,possibl variant,residu class,modulo,matric,initi state,residu,solut,equat,linear
244,doc 245,acceler simul,acceler,numer exampl,avail,gener,repair,evalu,simul,investig,class
245,doc 246,highli accur comput discret scheme,optim control,quadrat minim function,feasibl control,optim,condit,equat,distribut,scheme,minim
246,doc 247,admiss measur error,apparatu of fuzzi set theori,admiss degre of measur error,basi of fuzzi valu,basi of fuzzi inform,problem of identif,inform attribut,basi,current state,complex
247,doc 248,method of q-partit,decomposit of boolean function,new approach,theorem on simpl disjunct decomposit,decomposit of boolean,variou form,upr,sist,mash,decomposit
248,doc 249,nonlinear extrapol algorithm,mix central moment function,nonlinear random depend,problem of nonlinear extrapol,investig process,moment function,nonlinear,random,construct,account
249,doc 250,m-dimension lambda,method for solut,matric,equat,propos method,linear,search,solut,kind,method
250,doc 251,minim support set of solut,set of natur number criteria,minim gener set,compat,minim set of solut,linear constraint,nonstrict inequ,upper bound,correspond algorithm,algorithm of construct
251,doc 252,new lower bound,size of error-correct code,z-channel optim problem on graph,optim problem,size,optim,formul,code,bound,problem
252,doc 253,complet set of descriptolog oper,descript process,foundat,explic,intension concept,bipolar function,oper of introduct,concept of introduct,level of process,extract of abstract
253,doc 254,precod ofdm,scalabl video transmiss,heavi data rate overhead,sever intersymbol interfer,multipl frequenc band,channel spectral null,cyclic prefix insert,new ofdm framework,broadband wirelin,adapt
254,doc 255,wap site,mobil phone screen,hypertext markup languag,size of mobil phone screen,wireless markup languag,wireless commun,wml,mobil phone,maintain wap site,origin content
255,doc 256,govern procur,taiwan govern procur law,govern procur effici,reengin intern procur process,tender,taiwan,electron devic,contract develop tool,request for propos,nondiscrimin
256,doc 257,preliminari evalu,bridg crack inspect process,bridg safeti inspect,inspect for crack,autom of bridg crack inspect,eyesight inspect,bridg inspect vehicl,precis inspect,crack,bridg
257,doc 258,facil manag,includ databas integr,build facil manag,open control network,integr control network,web-bas access,internet recent,distribut compon object model,access bm,technic issu
258,doc 259,eas of use,optimis build perform,establish model of technolog accept,posit influenc of user percept,import of perceiv eas,questionnair survey,questionnair,previou research,compat,build
259,doc 260,collect dose,estim of popul,collect dose calcul,electron popul data resourc,effect of facil oper,popul,km radii,collect,public,person comput
260,doc 261,comput phantom,new util for develop,mcnp input data file,low energi emitt in plastic,precis geometr represent,mcnp calcul,user interfac,comput tomographi,individu properti,coupl of individu voxel
261,doc 262,piezoelectr cantilev,gradient piezoelectr cantilev,gener solut,airi stress function method,plane strain theori,invers method,isotrop bodi,gener solut in engin,form of polynomi,induct function
262,doc 263,long-liv atom spin state,quadratur phase oper of light,ground state spin,new light on fundament limit,memori for gaussian state,squeez state of light,quantum state of light,ensembl of cs atom,map procedur,quadratur phase observ
263,doc 264,scalabl quantum comput devic,quantum comput,decoupl solut,decoher,sever engin constraint,need for single-qubit oper,practic solut,logic qubit,problem of decoher,major concern
264,doc 265,mass media,ghost field in percol theori,influenc of mass media,market model of solomon,mass,addit inform,percol phase transit,neighbour,weisbuch,qualiti
265,doc 266,confid interv,long-rang depend,finit sampl properti,simul seri of differ length,major issu in financi econom,periodogram regress method on sampl,variou estim of long-rang depend,asymptot properti,gaussian white nois,long horizon
266,doc 267,evacu,present simul of evacu process,pedestrian use idea,pedestrian,differ type of behaviour,minim evacu time,bionic approach,proper combin of herd,simpl situat,model paramet
267,doc 268,period motion,dynam transit,recurr bu,bu stop,nonlinear map,dynam behavior,recurr time,complex period behavior,number of nonstop,increas nonstop
268,doc 269,cellular automata model,cellular automata,verhulst factor,penna model in penna,improv model,restrain factor,restrain effect,popul,sheep fluctuat in accord,danuta makowiec
269,doc 270,natur martingal,natur martingal for option price,levi distribut,option price,simpl stochast calculu,non-gaussian fluctuat,wealth balanc of option,path,truncat,result formula
270,doc 271,quantum-lik descript of market,quantum game theori,quantum,game,descript,market,recent develop,root,econom,propos
271,doc 272,disrupt interfer,power-law behavior,exit dynam of confin pedestrian,pedestrian,soonest possibl time,adjac cell vacanc,single-exit room,physic capabl rel,exit dynam of pedestrian,cellular automata
272,doc 273,highway traffic,analyt express for variou quantiti,tollbooth,highway,variou type of toll collect,first-ord phase transit,phase separ result,travel time,traffic flow,nagel-schreckenberg model
273,doc 274,so-cal bagsik oscil,applic of statist mechan apparatu,complex number,incorrect bank data,piotrowski,sladkowski,statist mechan,complex,analysi,publish
274,doc 275,growth rate,varianc of firm growth rate,puzzl recent evid,power-law relationship,firm size,model of independ busi,firm constitu busi,puzzl,larg firm,varianc
275,doc 276,tick,develop use high-frequ,exchang rate,exchang,size impli,statist forecast,behavior,check,quot sequenc,avail inform
276,doc 277,return,low-dimension chaotic trajectori,stock,observ statist quantiti,recurr properti,return fluctuat,dynam properti,market,invari,high uncertainti
277,doc 278,nonlinear time seri analysi,high-frequ currenc exchang data,time seri,euro zone,applic of recurr quantif analysi,currenc,euro,exchang rate,quantif of recurr plot,dynam behaviour
278,doc 279,logarithm standard deviat,volatil,number of underli market period,standard deviat,intra-day transact data,ssa,import futur,volatil seri,singular,methodolog of andersen
279,doc 280,coher field,higher-ord squeez,phase-depend photon statist,quantum field,recent experi,higher-ord quantum fluctuat,squeez properti,two-photon sourc,combin field,rev
280,doc 281,traffic flow,self-consist multi-class dynam traffic flow,two-dimension space,boltzmann equat,multilan domain,dispers model,vehicular boltzmann equat,traffic dispers model,second-ord moment function,nonlinear poisson equat
281,doc 282,addit resourc for websit develop,restaur web,restaur,food servic compani,electron commerc,potenti custom,enhanc revenu,web-bas technolog,effect of e-market invest,mean of reduc transact
282,doc 283,hotel industri,content analysi,two-year follow-up case studi,way hotel,content analysi studi,world wide web,relationship market,web market applic,develop of hotel web site,new use of web technolog
283,doc 284,lodg industri,dynam price,auction-bas model impact busi model,internet base medium of distribut,web site script,product distribut channel,tradit trade model,internet usag,web site,price set mechan
284,doc 285,affin invari,affin invari of convex polygon,object recognit,imag registr,complet set,invari,cohen,yang,juli,new set
285,doc 286,use dsp chip,major drawback for hardwar implement,new low-memori spiht imag,spiht high memori requir,spiht,new concepts-numb of error bit,optim of program structur,origin spiht algorithm,zerotre quantiz,hierarch tree
286,doc 287,comput of local moment,integral-bas featur,textur segment,main reason,moment,edg detect,effect of uncorrel nois,concept of accumul moment,neighborhood oper,overlap window
287,doc 288,new method for imag,imag denois,shrinkag function,imag multiresolut decomposit,redund wavelet transform,use scale,whilst imag nois,edg preserv,space consist,joint use of space
288,doc 289,new method for contour track,invert distanc transform,watersh algorithm on differ surfac,current edg map,new method,edg map,object contour in video,problem of background clutter,spuriou edg in background,contour
289,doc 290,new paradigm for imag represent,multilay represent,smooth region layer,multilay decomposit algorithm,imag compress,imag represent,superposit of coher layer,main contribut,new paradigm,previou compress
290,doc 291,scale-spac techniqu for edg detect,scale-spac domain,improv doubl threshold techniqu,final edg probabl imag,adapt wavelet-bas nois,signific reduct in imag nois,spatial domain filter,dynam rang compress,gener of adapt filter,wider rang of scale
291,doc 292,volumetr data for rate alloc,code process assign disjoint segment,multidimension layer zero code,enabl lossless code,lift step scheme,differ region,object-bas invers transform,diagnost relev,volum,mlzc
292,doc 293,common method of improv stabil,synchron gener,synthesi,effect synchron gener,turbin,high effect,difficult task,low cost,pss design,turbin control
293,doc 294,softwar tool,compens coil tune,resfal,verifi,distribut,check,author,behavior,softwar,fault
294,doc 295,inher requir for simul technolog,new simul,chang environ,energi util,appropri tool,power,place,chang,electron,challeng
295,doc 296,field test measur,gener control simul,paramet deriv process,gener plant,model paramet,major compon,purpos of deriveassist,paramet match,field,control simul
296,doc 297,comput applic in power,prospect for futur comput applic,electr power industri,current key issu,major develop,industri chang,deregul,exponenti rate,restructur,futur power engin
297,doc 298,control center,import control center function,design of control center infrastructur,qualiti of electr servic,continu of electr servic,applic softwar packag,market rule,new technolog trend,major function,standard compon
298,doc 299,trojan hors,rule set for specif applic,similar intrus attempt,av softwar,anti-viru softwar,good news,long way,data packet,virus,control access
299,doc 300,competit in today current climat,latest softwar applic,applic integr,numer organis,eai,introduct,enterpris,key,past,justin opi
300,doc 301,commerci secur standard,senior busi manag,unquantifi secur risk,risk,secur,assur,risk manag,compani,failur,key respons
301,doc 302,construct work,inform network,sewer optic fiber teleway,advanc inform societi,optic fiber network,above-ment optic fiber network,press demand,network plan,sewag conduit,commun infrastructur
302,doc 303,information-theoret model for imag watermark,data hider,data-hid capac of imag sourc,statist model for imag,previou theoret result,model for geometr attack,data hide,statist model,host imag,uncompress host-imag sourc
303,doc 304,geometr distort,digit imag provid robust,use featur point,new class of watermark scheme,differ type of featur point,weak of classic watermark method,watermark,self-synchron scheme,extract featur point,new approach
304,doc 305,color plane interpol,color filter array,term of mean squar error,color sampl,new demosa techniqu,digit camera pipelin,blue color,specif pattern,neighbor sampl,visibl color artifact
305,doc 306,comput color constanc algorithm,comput color constanc,appli color constanc idea,imag data,gray world method,compar perform on real imag,neural net method,effect of differ preprocess strategi,differ scene,algorithm on imag data
306,doc 307,variou factor affect color constanc,comput color constanc,comput color constanc algorithm,algorithm chosen for close studi,differ color constanc quantiti,lead algorithm,gray world method,color,neural net method,ground truth
307,doc 308,llab color space for percept,visual qualiti of digit simul,object imag qualiti,color in complex imag,new methodolog,increas import,improv of imag render,local distanc map,second metric associ,metric
308,doc 309,minim time,recent improv of ingham,fourier method,type theorem,control,minim,result,type,improv,time
309,doc 310,friction compens for pneumat control,pneumat control valv,ad puls,static friction,compens,control signal,industri control,control action,stiction,industri experi
310,doc 311,simpl dead-tim compens,dead-tim compens control,integr absolut error,step load disturb,pid,perform criterion,function of dead-tim margin,pid control,complementari sensit function,integr process
311,doc 312,lift model,so-cal causal constraint,sampl pattern,paper studi,new gpc algorithm,state-spac domain,gpc,multir,design constraint,predict
312,doc 313,output-inject observ,correspond output-inject observ,number of independ subset,measur model,systemat procedur,sub-observ,on-lin comput load,visual aid,proposit,role of input
313,doc 314,new subspac identif,new subspac identif approach,princip compon analysi,consist model estim,allow for error,diagnos process,propos subspac identif method,categori of eiv formul,instrument variabl in order,pca
314,doc 315,radial basi function neural network,mcfc stack,molten carbon fuel cell,fuzzi control,neural network identif,adapt fuzzi control procedur,neural network,oper temperatur,exist model,neural network model
315,doc 316,manual initi of deform surfac,major bottleneck in interact segment,volum segment,new paradigm,volum,volum data,interact,haptic devic,segment,tubular structur
316,doc 317,medic imag,variou applic in orthopaed surgeri,new categori of medic imag,focu on medic imag modal,recent introduct of navig techniqu,orthopaed,imag modal,orthopaed surgeri,new field of applic,preoper imag data
317,doc 318,lung,knowledge-bas method,problem of lung metastasi detect,oncolog depart,thorax,comput tomographi,visual on ct imag,metastas,three-dimension analysi,detect of metastas
318,doc 319,finit element model,human kidney for trauma research,high-fidel finit element model,kidney for use,organ reconstruct softwar packag,behaviour of biolog soft tissu,hexahedr finit element mesh,project data set,nonuniform ration b-spline,hyperelast materi model
319,doc 320,anatom scene,planar obliqu slice in order,new servic,anatom model,web server,anatom structur,exist model,sequenc of scene construct,high-qual video anim,visibl human
320,doc 321,number of new primit,develop scheme for interact mesh,cut path,gener interact mesh,follow major issu,virtual tool,survey of interact mesh-cut techniqu,mesh-cut method,new method,cut tool
321,doc 322,signal-driven approach,inher scale select select,morpholog scale space,imag materi,prior distribut,nois level present,uniform prior class distribut,segment of dynam magnet reson,optim set of scale depend,conflict criteria
322,doc 323,hybrid algorithm,time effect phase unwrap,local discontinuity-restor criterion,novel algorithm,wrap map,hybrid approach,unwrap problem of map,local treatment,hybrid,region
323,doc 324,digit method,use gabor filter,algorithm moir interferometri,novel approach of strain segment,engin viewpoint,strain,desir paramet,contour,digit differenti process,displac field
324,doc 325,posit accuraci,superresolv posit estim,high posit accuraci,modifi averag oper,new algorithm,nois pattern,nois sensit,suggest approach,posit,random
325,doc 326,hue satur intens color space,hue satur intens,hsi color model,convers formula,color imag process,random gaussian nois,adapt spatial filter method,rgb color model,nois reduct,nonuniform nois distribut in hsi
326,doc 327,classic converg correl,scale invari,fourier transform profilometri techniqu,deform fring pattern,mellin radial harmon decomposit,defin interv of scale factor,real-tim method,logarithm radial harmon filter,scale invari properti,fourier transform
327,doc 328,automat algorithm for region,automat method for region,intellig roi locat algorithm,locat in camera calibr,comput vision inspect,improv method,notabl rotat angl,anchor target,radon transform,human interact roi specif
328,doc 329,eccentr light beam approach,object plane,microscop,wide focus rang,object len,microscop autofocus,semiconductor laser devic,focal plane,compact construct,high resolut
329,doc 330,irregular shape,irregular polycrystallin silicon nugget,pack of polycrystallin silicon nugget,semiconductor wafer product,silica crucibl,nugget,pack,basic technolog,activ laser triangul,fragil
330,doc 331,monocular color traffic imag sequenc,cast shadow,accur scene analysi,inaccur vehicl segment,erron scene analysi,combin probabl map,characterist of cast shadow,shadow confid score,effect method,stationari background
331,doc 332,phase grate,mechan beam-steer compon,digit imag restor techniqu,imag plane,differ incid wavelength,nemat liquid crystal,nonmechan devic,differ output angl,advers effect,lcopa
332,doc 333,incoher correl,content-address memori,one-step msd addit techniqu,introduc refer digit,signed-digit adder,symbol substitut,set of minterm need,carri propag,msd,modifi
333,doc 334,improv view resolut,nonstationari micro-opt techniqu,imag,integr,improv,view,adopt,resolut,present,experiment
334,doc 335,period rectangular apertur,circular mask,practic guidanc for mask design,optic inform process,lead role in modern technolog,far-field diffract,differ type of mask,gamma ray,pinhol camera,far-field diffract formula
335,doc 336,short baselin binocular imag pair,binocular imag pair,occlud imag,result addit imag,fourier transform,compon imag,fourier-bas solut,transluc,invers fourier transform,appropri object-specif spectrum
336,doc 337,profession monochrom ccd camera,liquid crystal tunabl filter,tunabl filter,camera output signal,appli regress method,liquid crystal,device-independ color data,experiment setup,acquisit nois,spectral transmitt
337,doc 338,regular mixed-norm imag restor algorithm,least-mean mixed-norm imag restor,rel import,smooth function,lmf function,mixed-norm function,variou type of nois,lmf,regular paramet,uniqu minim exist
338,doc 339,optim problem,correspond vector-field comput,precis estim,new method,real movi imag,heurist modif,sequenc of imag,algorithm in term,modifi,propos method
339,doc 340,optic correl,centroid detect,result in good noise-smooth perform,moment function,correlation-bas method,input scene,centroid,singl intens filter,second method,centroid of multipl object
340,doc 341,bit plane,success imag compress techniqu,convent bit plane overhead,fast comput burden,discret cosin transform,bit rate,wavelet transform code,term of compress ratio,imag compress,bit plane code strategi
341,doc 342,reconstruct imag,zero-ord diffract,reconstruct imag of digit holographi,discret fresnel integr,simpl method,detect hologram,numer reconstruct,simplic in experiment requir,hologram,laplacian
342,doc 343,maximum entropi principl,effici method for two-level threshold,optim threshold determin,form of condit probabl distributions-simpl,effici method,bayesian formul,maxim entropi,bay formula,search algorithm,signific improv in speed
343,doc 344,fuzzi logic techniqu,fuzzi logic techniqu digit watermark,adapt digit watermark scheme,watermark,fuzzi logic,copyright protect,fuzzi logic approach,digit societi,differ strength,local characterist
344,doc 345,color pattern recognit task,fourier transform,color distribut,optic correl,correl of color imag,color,encod,propos method,dimens,recognit
345,doc 346,vector evalu,search for effici solut,continu multi-criterion maxim problem,target-level method,set of vector evalu,set of effici vector evalu,target-level point,gener weakli effici,effici evalu,target point
346,doc 347,acut period of concuss,result of comput process,mental impair,number of comput procedur,experiment inform,period,data,patient,articl,result
347,doc 348,regular of linear regress problem,estim of linear regress paramet,regular,studi consid,regular method,bayesian method,pseudoinvers method,regular algorithm,linear,bayesian approach
348,doc 349,three-el set,main option,self-consist choic,plural vote,approv vote,self-consist choic contain term,choic rule,borda count,presidenti campaign,close number of vote
349,doc 350,invers problem,hierarch structur,parabol equat,heat-conduct theori,coeffici,uniqu solvabl,identif,model,relev,function
350,doc 351,mathemat model of ion exchang,invers problem,mathemat model,ion exchang compress,compress ion,numer solut method,process of ion exchang,exchang,mathemat,uniqu solvabl
351,doc 352,so-cal messag pass interfac,numer solut of gas-dynam problem,standard data-transf interfac,parallel of applic algorithm,simul of jet,implement of method,comput of jet,jet,low-pressur region,cluster
352,doc 353,kelvin-helmholtz instabl,hybrid simul,literatur on hybrid simul,survey of literatur,kelvin-helmholtz instabl in finite-s object,massless fluid,veloc shear region,three-dimension hybrid simul,electromagnet hybrid model,mak press
353,doc 354,comput electromagnet,iter solver for dens matric,algorithm complex,underli comput hardwar,high data movement,actual perform of algorithm,comput architectur,arithmet processor,oper count,number of arithmet oper
354,doc 355,geometr optic,ray carri field,indoor environ,imag tree,data structur,transmitt,threshold valu,input file,paper briefli,wall construct
355,doc 356,flip,flip analysi flip,solitair board game,use of oper research,craft woodwork,game,suggest modif,manageri decis make,build,rule
356,doc 357,univers cours,manag perspect,error experiment in teach,process oper,manag faculti,involv trial,relev literatur,year of academ experi,number of idea,teach experi
357,doc 358,spreadsheet,recent shift of attent,critic path,project network,spreadsheet environ,implement,gener,tradit,manag scienc,critic
358,doc 359,object-ori version,object-ori version of simlib,easy-to-understand discrete-ev simul packag,simpl simul packag,object point of view,single-serv queue simul,object-ori simlib,version,simpl,paper
359,doc 360,maximum possibl evpi,evpi,upper bound,valu of perfect inform,maximum evpi,maximum,probabl distribut,expect,valu,possibl
360,doc 361,classroom use,classroom use microsoft powerpoint,millionair,classroom version,classroom edit,instruct on oper,suggest framework,televis,popular,game
361,doc 362,difficult multipl choic question,monetari decis contest,sequenti decis analysi,bayesian probabl revis,stochast dynam program,singl decis analysi,game consist,decis analysi,discuss of util theori,birth of oper research
362,doc 363,blitzogram,histogram,author hope,faster,academ exercis,probabl distribut,crystal ball,interact,trend,iter
363,doc 364,ms educ,teach manag scienc,decis model,current state of ms educ,manag scienc,renaiss in ms educ,decad of enorm chang,decad,use of spreadsheet,promis new direct
364,doc 365,manag scienc,teach manag scienc,basic model skill,impress array of tool,heart of manag scienc,hierarchi of model skill,effect teach,similar program,part-tim practition,work hypothesi
365,doc 366,busi school manag scienc cours,manag scienc,poor student mathemat prepar,narrow subset of manag problem,manag scienc profess,gener manag program,need of mba program,tradit model,algorithm-bas cours,declin
366,doc 367,scienc academ librarian gift,academ librari,gener public continu,gift bring valu,neg aspect of gift accept,altruist natur,strategi in handl gift,univers commun,cement of social relationship,valu of gift accept
367,doc 368,print book,fifty-six titl,patterson studi,valu of book,factor of edit,dust jacket,factor,book,print,influenc
368,doc 369,sampl of fifty-six titl,basic econom principl,dust jacket,valu of book,book,factor,autograph,influenc,out-of-print,edit
369,doc 370,histori of scienc,histori,method of collect develop,rare materi,necessari basi for success,medicin,basic refer tool,polici format,beginn,advic
370,doc 371,small academ librari,special collect depart,academ librari,tale of special collect,case studi,academ environ,decis,collect,depart,acquisit polici
371,doc 372,jame ford bell librari,basic acquisit philosophi,note special collect,acquisit,electron revolut,commentari,note,articl,basic,just
372,doc 373,underground poetri for librari collect,collect poetri,import role in poetri,acquisit difficulti,librarian,cultur,total immers,local focu,accompani action,power
373,doc 374,bound ration,hanoch,author refer,model of bound ration,emot,hanoch comment,yerkes-dodson law,repli,emot arous,central hypothesi
